,Label,Id_high,cluster_high,degree_high,betweenness_high,closeness_high,eigenvector_high,abundance_high,Id_low,cluster_low,degree_low,betweenness_low,closeness_low,eigenvector_low,abundance_low,Id_pibd,cluster_pibd,degree_pibd,betweenness_pibd,closeness_pibd,eigenvector_pibd,abundance_pibd,phylum
60,Enterocloster,64.0,I,0.0265957446808511,0.0282894736842105,0.589936471531827,0.135799983566935,295.0,59.0,VI,0.0212765957446809,0.0597814883529169,0.444807333333956,0.0775347679434422,1456.0,55.0,III,0.0372340425531915,0.0395061728395062,0.599972034218673,0.0299453716087091,1609.0,Bacillota_A_368345
124,Roseburia_A_166204,65.0,I,0.0372340425531915,0.062280701754386,0.59960637173503,0.0495905503915086,2057.0,61.0,III,0.0372340425531915,0.0272108843537415,0.600660675304649,0.18246651123344,2256.0,57.0,III,0.0053191489361702,0.0,0.405133412998534,0.0032053134297388,1660.0,Bacillota_A_368345
20,Acetatifactor,66.0,I,0.0531914893617021,0.0366228070175439,0.679963641594519,0.441224269283273,874.0,65.0,I,0.0053191489361702,0.0,0.414534505043362,0.0020264578613467,67.0,,,,,,,,Bacillota_A_368345
99,Lawsonibacter,67.0,I,0.0797872340425532,0.0019736842105263,0.731312892208694,0.769678235925138,348.0,,,,,,,,87.0,I,0.0053191489361702,0.0,0.385971033089167,0.0472504738202412,229.0,Bacillota_A_368345
131,Sellimonas,68.0,IV,0.0106382978723404,0.0006578947368421,0.40834357994872,1.02086376393465e-05,81.0,68.0,II,0.0425531914893617,0.0010307153164296,0.597139991590413,0.592838153884513,437.0,72.0,III,0.0319148936170213,0.0222222222222222,0.602615334446238,0.0426341308436769,749.0,Bacillota_A_368345
144,Ventrisoma,69.0,VIII,0.0106382978723404,0.0,0.485079359780072,0.0057765273519928,349.0,103.0,VII,0.0053191489361702,0.0,0.31141239685389,0.0003945973139653,181.0,,,,,,,,Bacillota_A_368345
51,Coprococcus_A_121497,70.0,VI,0.0106382978723404,0.0208333333333333,0.492031762283138,0.0284405519935518,513.0,93.0,I,0.0106382978723404,0.0,0.405295270732437,0.0027376996796709,104.0,,,,,,,,Bacillota_A_368345
64,Eubacterium_F,71.0,I,0.0425531914893617,0.0280701754385965,0.679169078880417,0.360101953166805,632.0,94.0,I,0.0106382978723404,0.0080395794681509,0.484657824090227,0.0140171815879534,150.0,,,,,,,,Bacillota_A_368345
122,RUG13077,72.0,III,0.0106382978723404,0.0208333333333333,0.430437886531142,0.0102310785037897,126.0,,,,,,,,,,,,,,,Bacillota_A_368345
104,Mediterraneibacter_A_155507,73.0,II,0.0319148936170213,0.0291666666666667,0.608074930215812,0.0003051360748147,2897.0,71.0,III,0.0265957446808511,0.0212327355184498,0.606564146804239,0.200736183048616,4163.0,69.0,I,0.0212765957446809,0.0,0.549135606877869,0.357179093904239,2821.0,Bacillota_A_368345
30,Anaeromassilibacillus,74.0,II,0.0053191489361702,0.0,0.430930631302957,4.17261013660015e-05,205.0,,,,,,,,,,,,,,,Bacillota_A_368345
2,1_Aristaeellaceae(F),75.0,VIII,0.0159574468085106,0.155921052631579,0.564900998808421,0.0067490838853676,511.0,78.0,III,0.0053191489361702,0.0,0.486613292576355,0.038574946104742,135.0,,,,,,,,Bacillota_A_368345
102,Limivicinus,76.0,III,0.0106382978723404,0.006578947368421,0.495582511835611,0.0322738331484146,390.0,75.0,I,0.0159574468085106,0.0593692022263451,0.453448411783381,0.0035378514741289,67.0,83.0,X,0.0,0.0,0.0,0.0,139.0,Bacillota_A_368345
0,1_Anaerotignaceae(F),77.0,I,0.0053191489361702,0.0,0.517373344519396,0.0618395233151089,259.0,,,,,,,,,,,,,,,Bacillota_A_368345
84,Hominibacterium,78.0,II,0.0159574468085106,0.0,0.5283628298933,0.0001550083410921,102.0,,,,,,,,,,,,,,,Bacillota_A_368345
41,Blautia_A_141893,79.0,II,0.0212765957446809,0.0,0.537618125358967,0.0001521332973942,146.0,73.0,III,0.0212765957446809,0.0202020202020202,0.522115170137321,0.0597478868968779,189.0,,,,,,,,Bacillota_A_368345
115,Parasutterella_564865,80.0,I,0.0478723404255319,0.0,0.626900824983676,0.522093663251352,307.0,106.0,VI,0.0053191489361702,0.0,0.285046135701004,0.0009561875724965,514.0,92.0,VI,0.0053191489361702,0.0,0.375268577666231,0.0165854462447982,3038.0,Pseudomonadota
142,UMGS1071,81.0,I,0.0106382978723404,0.0138157894736842,0.547870887056737,0.0625119274087091,482.0,102.0,II,0.0053191489361702,0.0,0.36662496756509,0.0263526032268063,426.0,73.0,I,0.0265957446808511,0.191666666666667,0.660107203352591,0.389115768272759,664.0,Bacillota_A_368345
76,Fusicatenibacter,82.0,II,0.0372340425531915,0.0296052631578947,0.598368225186232,0.0003398070998592,824.0,57.0,III,0.0531914893617021,0.0191713048855906,0.687200014014809,0.325094037678394,2148.0,,,,,,,,Bacillota_A_368345
72,Faecousia,83.0,I,0.0691489361702128,0.125219298245614,0.734116900944876,0.410445083575096,1242.0,79.0,I,0.0691489361702128,0.137909709338281,0.615057677425537,0.0194896897574107,303.0,89.0,IV,0.0053191489361702,0.0,0.299601545990754,0.0014531981404844,107.0,Bacillota_A_368345
80,Gordonibacter,84.0,II,0.0212765957446809,0.0,0.554523556293533,0.0002238942799595,151.0,104.0,VII,0.0053191489361702,0.0,0.311252419433235,0.0003933610605858,226.0,,,,,,,,Actinomycetota
23,Agathobacter_164117,85.0,I,0.0212765957446809,0.32719298245614,0.631188043645951,0.0154369338102023,5064.0,60.0,III,0.0425531914893617,0.13440527726242,0.665162135699386,0.193460768730794,4687.0,56.0,I,0.0372340425531915,0.054320987654321,0.635055914335296,0.716747198806482,2230.0,Bacillota_A_368345
132,Slackia,86.0,IV,0.0106382978723404,0.0,0.482969559416684,4.94493509121574e-05,310.0,,,,,,,,,,,,,,,Actinomycetota
32,Anaerotardibacter,87.0,II,0.0106382978723404,0.0,0.497254271755472,6.93616549082091e-05,315.0,105.0,III,0.0053191489361702,0.0,0.385660972906666,0.0062608679403717,242.0,,,,,,,,Actinomycetota
86,Hominilimicola,88.0,I,0.0053191489361702,0.0,0.376064463138096,0.0008825629927341,753.0,96.0,IV,0.0106382978723404,0.0016491445062873,0.464389818112873,0.0271996364689833,2893.0,70.0,I,0.0265957446808511,0.0098765432098765,0.556447043344798,0.438899714918681,908.0,Bacillota_A_368345
82,Haemophilus_D_735815,89.0,I,0.0053191489361702,0.0,0.388368175442873,0.0010247938273586,369.0,82.0,II,0.0212765957446809,0.0032982890125747,0.505692978514584,0.193180541147893,1215.0,67.0,V,0.0372340425531915,0.0660493827160494,0.587258371865164,0.0091821152782014,6846.0,Pseudomonadota
88,Hungatella_A_128155,90.0,0,0.0,0.0,0.0,0.0,173.0,,,,,,,,91.0,V,0.0212765957446809,0.0277777777777778,0.522881673100014,0.0097049376174955,397.0,Bacillota_A_368345
125,Ruminococcus_B,91.0,II,0.0053191489361702,0.0,0.385995049398282,9.33088553297711e-06,236.0,77.0,II,0.0851063829787234,0.167182024324881,0.702366143753091,1.0,3330.0,76.0,III,0.0478723404255319,0.117283950617284,0.669256240791999,0.0466125431033856,3809.0,Bacillota_A_368345
