,Source,Target,Type,Weight,Sign,asso,group
159,Collinsella,Dorea_A,Undirected,0.449255843733028,Positive,0.393361748675562,high_edge
160,Collinsella,Lentihominibacter,Undirected,0.467322340574429,Positive,0.432509022297791,high_edge
161,Collinsella,Terrisporobacter,Undirected,0.437807741940296,Positive,0.367879729955463,high_edge
162,Collinsella,Anaerotardibacter,Undirected,0.430063011829576,Positive,0.350343659030451,high_edge
163,Turicibacter,Alistipes_A_871400,Undirected,0.159777641978721,Negative,-0.411947221837678,high_edge
164,Turicibacter,Blautia_A_141781,Undirected,0.42609586847486,Positive,0.34126809563675,high_edge
165,Turicibacter,Hominicoprocola,Undirected,0.178990799512962,Negative,-0.348112214568731,high_edge
166,Turicibacter,Phocaeicola_A,Undirected,0.17513360768227,Negative,-0.360809130350534,high_edge
167,Turicibacter,Alistipes_A_871404,Undirected,0.190450601633988,Negative,-0.310740456789545,high_edge
168,Turicibacter,Clostridium_T,Undirected,0.485351384647902,Positive,0.470273605432337,high_edge
169,Turicibacter,Romboutsia_B,Undirected,0.536481950734775,Positive,0.570302036010721,high_edge
170,Turicibacter,Terrisporobacter,Undirected,0.473164035041544,Positive,0.444887732052586,high_edge
171,Turicibacter,Intestinibacter,Undirected,0.526848765405307,Positive,0.552255818403035,high_edge
172,Turicibacter,Faecousia,Undirected,0.179174422950636,Negative,-0.347509255876843,high_edge
173,1_Eggerthellaceae(F),Alistipes_A_871400,Undirected,0.190892296700261,Negative,-0.309310551077958,high_edge
174,Ruminococcus_E,Faecalibacillus,Undirected,0.452040604777707,Positive,0.399481002375237,high_edge
175,Ruminococcus_E,Anaerobutyricum,Undirected,0.456061979825541,Positive,0.408262860417379,high_edge
176,Ruminococcus_E,Fusicatenibacter,Undirected,0.434859542168129,Positive,0.361232525843167,high_edge
177,Ruminococcus_E,Hominibacterium,Undirected,0.414621900064717,Positive,0.314664960232316,high_edge
178,Ruminococcus_E,Hungatella_A_128155,Undirected,0.190674635579167,Negative,-0.310015090989828,high_edge
179,Ruminococcus_E,Gordonibacter,Undirected,0.417580281801837,Positive,0.321574543707945,high_edge
180,Faecalibacillus,Alistipes_A_871400,Undirected,0.180650334921363,Negative,-0.342667747328951,high_edge
181,Faecalibacillus,Blautia_A_141781,Undirected,0.473894707847374,Positive,0.446426443138,high_edge
182,Faecalibacillus,Phocaeicola_A,Undirected,0.168420442659932,Negative,-0.383049120371806,high_edge
183,Faecalibacillus,Parabacteroides_B_862066,Undirected,0.192792405646225,Negative,-0.303168200764816,high_edge
184,Faecalibacillus,Butyricimonas,Undirected,0.17662901804413,Negative,-0.355879547853946,high_edge
185,Faecalibacillus,Anaerostipes,Undirected,0.456304353502473,Positive,0.408790087959272,high_edge
186,Faecalibacillus,Anaerobutyricum,Undirected,0.477362877334713,Positive,0.453700876024299,high_edge
187,Faecalibacillus,Dorea_A,Undirected,0.504589856791879,Positive,0.509137580013019,high_edge
188,Faecalibacillus,Fusicatenibacter,Undirected,0.437272780974947,Positive,0.366676153936661,high_edge
189,Faecalibacillus,Agathobacter_164117,Undirected,0.425816040257709,Positive,0.340625560749326,high_edge
190,Faecalibacillus,Hominibacterium,Undirected,0.415043041640366,Positive,0.315650713733292,high_edge
191,Faecalibacillus,Mediterraneibacter_A_155507,Undirected,0.466709747054011,Positive,0.431203012225606,high_edge
192,Faecalibacillus,Gordonibacter,Undirected,0.428638995952866,Positive,0.347093206108503,high_edge
193,Thomasclavelia,Eggerthella,Undirected,0.408945337584849,Positive,0.301308772074624,high_edge
194,Thomasclavelia,Intestinibacter,Undirected,0.419092484017365,Positive,0.32509291574977,high_edge
195,Thomasclavelia,Fusicatenibacter,Undirected,0.433269203507675,Positive,0.35763240861435,high_edge
196,Thomasclavelia,Sellimonas,Undirected,0.439430087262677,Positive,0.37152274586734,high_edge
197,Thomasclavelia,Ruminococcus_B,Undirected,0.421071764344621,Positive,0.329684195921901,high_edge
198,Thomasclavelia,Faecousia,Undirected,0.187535723117552,Negative,-0.32019640242024,high_edge
199,Coprobacillus,Phocaeicola_A,Undirected,0.419794179281421,Positive,0.326722411208561,high_edge
200,Alistipes_A_871400,Blautia_A_141781,Undirected,0.114780113321187,Negative,-0.5672284955433,high_edge
201,Alistipes_A_871400,CAG-269,Undirected,0.418423171523968,Positive,0.323536785159521,high_edge
202,Alistipes_A_871400,Hominicoprocola,Undirected,0.457315517346278,Positive,0.410987104573724,high_edge
203,Alistipes_A_871400,Odoribacter_865974,Undirected,0.566766024316303,Positive,0.624616644626596,high_edge
204,Alistipes_A_871400,Phocaeicola_A,Undirected,0.646872520027551,Positive,0.750601965776615,high_edge
205,Alistipes_A_871400,1_Oscillospiraceae_88309(F),Undirected,0.447345984164804,Positive,0.389147077562462,high_edge
206,Alistipes_A_871400,Pauljensenia,Undirected,0.183770658301958,Negative,-0.332460676497638,high_edge
207,Alistipes_A_871400,Parabacteroides_B_862066,Undirected,0.5165045865433,Positive,0.53246437033267,high_edge
208,Alistipes_A_871400,Vescimonas,Undirected,0.486120985683317,Positive,0.471856717289829,high_edge
209,Alistipes_A_871400,Alistipes_A_871404,Undirected,0.571589137929953,Positive,0.632928266520798,high_edge
210,Alistipes_A_871400,Butyricimonas,Undirected,0.428423896582472,Positive,0.346601516004072,high_edge
211,Alistipes_A_871400,Anaerostipes,Undirected,0.159945726269908,Negative,-0.411382365624386,high_edge
212,Alistipes_A_871400,Clostridium_T,Undirected,0.115822265171646,Negative,-0.563540533532398,high_edge
213,Alistipes_A_871400,Barnesiella_B,Undirected,0.532753433441351,Positive,0.563361292078309,high_edge
214,Alistipes_A_871400,UBA5905,Undirected,0.516854603232853,Positive,0.533141051165432,high_edge
215,Alistipes_A_871400,Anaerotruncus,Undirected,0.442335886386421,Positive,0.378021472775162,high_edge
216,Alistipes_A_871400,Dysosmobacter,Undirected,0.607356926978705,Positive,0.691662834416788,high_edge
217,Alistipes_A_871400,Merdimmobilis,Undirected,0.416732381649105,Positive,0.319597770766549,high_edge
218,Alistipes_A_871400,Anaerobutyricum,Undirected,0.137921412478142,Negative,-0.486358982127363,high_edge
219,Alistipes_A_871400,Romboutsia_B,Undirected,0.111765180526661,Negative,-0.577922189049671,high_edge
220,Alistipes_A_871400,Lentihominibacter,Undirected,0.168527829171984,Negative,-0.382691941722908,high_edge
221,Alistipes_A_871400,Terrisporobacter,Undirected,0.181282418580385,Negative,-0.340596956251166,high_edge
222,Alistipes_A_871400,Intestinibacter,Undirected,0.131581725347365,Negative,-0.50830059950132,high_edge
223,Alistipes_A_871400,Hominibacterium,Undirected,0.181448724486573,Negative,-0.340052381289317,high_edge
224,Alistipes_A_871400,Acetatifactor,Undirected,0.410078363493251,Positive,0.303984925562397,high_edge
225,Alistipes_A_871400,Lawsonibacter,Undirected,0.500365946349197,Positive,0.500731624864933,high_edge
226,Alistipes_A_871400,Blautia_A_141893,Undirected,0.186931513760411,Negative,-0.322160726631872,high_edge
227,Alistipes_A_871400,Eubacterium_F,Undirected,0.462131271028452,Positive,0.421394460789063,high_edge
228,Alistipes_A_871400,Intestinimonas,Undirected,0.423118436092078,Positive,0.334415322446301,high_edge
229,Alistipes_A_871400,Faecousia,Undirected,0.487271135820051,Positive,0.474218223673479,high_edge
230,Alistipes_A_871400,Gordonibacter,Undirected,0.191973017426513,Negative,-0.30581520913363,high_edge
231,Alistipes_A_871400,Parasutterella_564865,Undirected,0.428408546723655,Positive,0.346566421082871,high_edge
232,Eggerthella,Blautia_A_141781,Undirected,0.478565411560384,Positive,0.456211939957618,high_edge
233,Eggerthella,Hominicoprocola,Undirected,0.150377746927506,Negative,-0.443715945831961,high_edge
234,Eggerthella,Pauljensenia,Undirected,0.415984393428441,Positive,0.317851542561707,high_edge
235,Eggerthella,Parabacteroides_B_862066,Undirected,0.19055775549865,Negative,-0.310393494366766,high_edge
236,Eggerthella,Alistipes_A_871404,Undirected,0.163263083964199,Negative,-0.400257333314206,high_edge
237,Eggerthella,Anaerostipes,Undirected,0.516816864781559,Positive,0.533068115680956,high_edge
238,Eggerthella,Clostridium_T,Undirected,0.42629752014079,Positive,0.341730929206786,high_edge
239,Eggerthella,Barnesiella_B,Undirected,0.180177110279794,Negative,-0.344219141018378,high_edge
240,Eggerthella,UBA5905,Undirected,0.184798765802877,Negative,-0.329106104473024,high_edge
241,Eggerthella,Dysosmobacter,Undirected,0.187271195361351,Negative,-0.321056219778736,high_edge
242,Eggerthella,Anaerobutyricum,Undirected,0.408433376826782,Positive,0.300097860694873,high_edge
243,Eggerthella,Coprococcus_A_121497,Undirected,0.181002628393897,Negative,-0.34151338939541,high_edge
244,Eggerthella,Faecousia,Undirected,0.166950003176079,Negative,-0.387944594416669,high_edge
245,Akkermansia,Coprococcus_A_121497,Undirected,0.412062605637013,Positive,0.308659240619323,high_edge
246,Faecalibacterium,Agathobaculum,Undirected,0.479954051324979,Positive,0.459104422533396,high_edge
247,Faecalibacterium,Agathobacter_164117,Undirected,0.451495936972112,Positive,0.398286585683796,high_edge
248,Faecalibacterium,Roseburia_A_166204,Undirected,0.439165645134863,Positive,0.37092965280601,high_edge
249,Blautia_A_141781,Hominicoprocola,Undirected,0.14617212342133,Negative,-0.458044085645682,high_edge
250,Blautia_A_141781,Odoribacter_865974,Undirected,0.138237318977224,Negative,-0.485269836807126,high_edge
251,Blautia_A_141781,Phocaeicola_A,Undirected,0.14996664552059,Negative,-0.445113407455035,high_edge
252,Blautia_A_141781,Pauljensenia,Undirected,0.428680311894453,Positive,0.347187627965962,high_edge
253,Blautia_A_141781,Parabacteroides_B_862066,Undirected,0.127186815940235,Negative,-0.523605708537091,high_edge
254,Blautia_A_141781,Vescimonas,Undirected,0.15240208729519,Negative,-0.436844443243103,high_edge
255,Blautia_A_141781,Alistipes_A_871404,Undirected,0.118140373242832,Negative,-0.555352802608584,high_edge
