"Label","Id","cluster","degree","betweenness","closeness","eigenvector","abundance","phylum"
"Ruminococcus_B",76,3,0.0478723404255319,0.117283950617284,0.669256240791999,0.0466125431033856,3809,"Bacillota_A_368345"
"Lancefieldella",77,5,0.0212765957446809,0.0382716049382716,0.55467668299957,0.00990260742509949,287,"Actinomycetota"
"Dialister_37762",78,1,0.0212765957446809,0,0.53635782034398,0.378651482113429,2042,"Bacillota_C"
"Ruminococcus_C_58660",79,4,0.0106382978723404,0,0.419984430604313,0.058223181770856,222,"Bacillota_A_368345"
"Prevotella",80,7,0.00531914893617021,0,0.353713045234412,0.00912523980260021,1588,"Bacteroidota"
"Lachnoclostridium_B",81,2,0.0212765957446809,0.221296296296296,0.641458011174892,0.157840531562685,551,"Bacillota_A_368345"
"Alistipes_A_871404",82,8,0,0,0,0,64,"Bacteroidota"
"Limivicinus",83,10,0,0,0,0,139,"Bacillota_A_368345"
"Anaerotruncus",84,1,0.00531914893617021,0,0.37911088485737,0.0403401806668688,344,"Bacillota_A_368345"
"Evtepia",85,4,0.00531914893617021,0,0.395320293156085,0.0161356001988316,125,"Bacillota_A_368345"
"Terrisporobacter",86,2,0.00531914893617021,0,0.45153646915416,0.00347821925384701,308,"Bacillota_A_368345"
"Lawsonibacter",87,1,0.00531914893617021,0,0.385971033089167,0.0472504738202412,229,"Bacillota_A_368345"
"Hominimerdicola",88,1,0.00531914893617021,0,0.373264601567335,0.0354552099287129,284,"Bacillota_A_368345"
"Faecousia",89,4,0.00531914893617021,0,0.299601545990754,0.00145319814048449,107,"Bacillota_A_368345"
"Onthenecus",90,0,0,0,0,0,369,"Bacillota_A_368345"
"Hungatella_A_128155",91,5,0.0212765957446809,0.0277777777777778,0.522881673100014,0.00970493761749558,397,"Bacillota_A_368345"
"Parasutterella_564865",92,6,0.00531914893617021,0,0.375268577666231,0.0165854462447982,3038,"Pseudomonadota"
