Label,Id,cluster,degree,betweenness,closeness,eigenvector,abundance,phylum
Mediterraneibacter_A_155507,73,2,0.0319148936170213,0.0291666666666667,0.608074930215812,0.000305136074814706,2897,Bacillota_A_368345
Anaeromassilibacillus,74,2,0.00531914893617021,0,0.430930631302957,4.17261013660015e-05,205,Bacillota_A_368345
1_Aristaeellaceae(F),75,8,0.0159574468085106,0.155921052631579,0.564900998808421,0.00674908388536761,511,Bacillota_A_368345
Limivicinus,76,3,0.0106382978723404,0.00657894736842105,0.495582511835611,0.0322738331484146,390,Bacillota_A_368345
1_Anaerotignaceae(F),77,1,0.00531914893617021,0,0.517373344519396,0.0618395233151089,259,Bacillota_A_368345
Hominibacterium,78,2,0.0159574468085106,0,0.5283628298933,0.000155008341092106,102,Bacillota_A_368345
Blautia_A_141893,79,2,0.0212765957446809,0,0.537618125358967,0.000152133297394266,146,Bacillota_A_368345
Parasutterella_564865,80,1,0.0478723404255319,0,0.626900824983676,0.522093663251352,307,Pseudomonadota
UMGS1071,81,1,0.0106382978723404,0.0138157894736842,0.547870887056737,0.0625119274087091,482,Bacillota_A_368345
Fusicatenibacter,82,2,0.0372340425531915,0.0296052631578947,0.598368225186232,0.00033980709985923,824,Bacillota_A_368345
Faecousia,83,1,0.0691489361702128,0.125219298245614,0.734116900944876,0.410445083575096,1242,Bacillota_A_368345
Gordonibacter,84,2,0.0212765957446809,0,0.554523556293533,0.000223894279959505,151,Actinomycetota
Agathobacter_164117,85,1,0.0212765957446809,0.32719298245614,0.631188043645951,0.0154369338102023,5064,Bacillota_A_368345
Slackia,86,4,0.0106382978723404,0,0.482969559416684,4.94493509121574e-05,310,Actinomycetota
Anaerotardibacter,87,2,0.0106382978723404,0,0.497254271755472,6.93616549082091e-05,315,Actinomycetota
Hominilimicola,88,1,0.00531914893617021,0,0.376064463138096,0.000882562992734143,753,Bacillota_A_368345
Haemophilus_D_735815,89,1,0.00531914893617021,0,0.388368175442873,0.00102479382735866,369,Pseudomonadota
Hungatella_A_128155,90,0,0,0,0,0,173,Bacillota_A_368345
Ruminococcus_B,91,2,0.00531914893617021,0,0.385995049398282,9.33088553297711e-06,236,Bacillota_A_368345
Intestinimonas,92,1,0.0159574468085106,0,0.532062167861471,0.148494619243199,173,Bacillota_A_368345
1_Clostridia_258483(C),93,0,0,0,0,0,138,Bacillota_A_368345
1_CAG-138(F),94,3,0.00531914893617021,0,0.33522098239069,0.00070539803996078,90,Bacillota_A_368345
1_QAKW01(F),95,1,0.0106382978723404,0,0.503910169711014,0.110842782506752,73,Bacillota_A_368345
Desulfovibrio_446353,96,3,0.0106382978723404,0.0208333333333333,0.421054468706878,0.00696991831309655,256,Desulfobacterota_G_459543
Ruminococcus_C_58660,97,7,0.0106382978723404,0.00592105263157895,0.45405572795376,0.00399899024407705,206,Bacillota_A_368345
Dialister_37762,98,5,0,0,0,0,862,Bacillota_C
SFLA01,99,8,0.00531914893617021,0,0.4473564127528,0.00561682126912332,146,Bacillota_A_368345
1_Mitochondria(F),100,4,0.00531914893617021,0,0.373129263725564,6.14632766503199e-06,27,Pseudomonadota
Coprococcus_A_187866,101,2,0.0159574468085106,0,0.51058396130196,0.000128391332719453,103,Bacillota_A_368345
Alitiscatomonas,102,1,0.00531914893617021,0,0.418922929646,0.00947579949475334,64,Bacillota_A_368345
Eisenbergiella,103,1,0.0106382978723404,0,0.473395349928682,0.0136099302812391,1675,Bacillota_A_368345
